2019-01-02,103.56
2019-01-03,103.79
2019-01-04,104.66
2019-01-07,104.57
2019-01-08,107.07
2019-01-09,108.35
2019-01-10,108.96
2019-01-11,110.29
2019-01-14,109.49
2019-01-15,110.00
2019-01-16,109.80
2019-01-17,110.03
2019-01-18,111.80
2019-01-21,116.71
2019-01-22,114.39
2019-01-23,113.89
2019-01-24,111.76
2019-01-28,107.30
2019-01-29,108.69
2019-01-30,118.00
2019-01-31,115.00
2019-02-01,112.00
2019-02-04,110.63
2019-02-05,109.22
2019-02-06,115.98
2019-02-07,113.20
2019-02-08,112.05
2019-02-11,116.00
2019-02-12,115.89
2019-02-13,126.20
2019-02-14,134.96
2019-02-15,135.00
2019-02-18,134.90
2019-02-19,135.63
2019-02-20,138.00
2019-02-21,138.65
2019-02-22,142.61
2019-02-25,142.90
2019-02-26,141.80
2019-02-27,152.44
2019-02-28,150.98
2019-03-01,168.00
2019-03-06,17.03
2019-03-07,18.12
2019-03-08,17.50
2019-03-11,18.21
2019-03-12,17.60
2019-03-13,17.85
2019-03-14,18.56
2019-03-15,20.03
2019-03-18,20.30
2019-03-19,19.50
2019-03-20,20.27
2019-03-21,20.50
2019-03-22,19.80
2019-03-25,19.30
2019-03-26,19.62
2019-03-27,19.25
2019-03-28,18.99
2019-03-29,18.90
2019-04-01,19.38
2019-04-02,19.40
2019-04-03,19.00
2019-04-04,18.94
2019-04-05,18.89
2019-04-08,18.75
2019-04-09,18.01
2019-04-10,18.92
2019-04-11,18.13
2019-04-12,18.20
2019-04-15,18.05
2019-04-16,17.91
2019-04-17,18.10
2019-04-18,17.95
2019-04-22,19.31
2019-04-23,19.81
2019-04-24,19.35
2019-04-25,18.99
2019-04-26,18.70
2019-04-29,18.30
2019-04-30,18.45
2019-05-02,17.65
2019-05-03,17.58
2019-05-06,17.45
2019-05-07,17.30
2019-05-08,17.80
2019-05-09,17.43
2019-05-10,17.52
2019-05-13,16.59
2019-05-14,17.05
2019-05-15,17.11
2019-05-16,18.80
2019-05-17,18.69
2019-05-20,18.83
2019-05-21,18.64
2019-05-22,18.37
2019-05-23,17.53
2019-05-24,17.37
2019-05-27,17.98
2019-05-28,18.48
2019-05-29,18.00
2019-05-30,17.74
2019-05-31,17.37
2019-06-03,17.50
2019-06-04,17.38
2019-06-05,16.95
2019-06-06,16.89
2019-06-07,16.80
2019-06-10,16.73
2019-06-11,16.30
2019-06-12,15.72
2019-06-13,16.15
2019-06-14,16.02
2019-06-17,16.12
2019-06-18,16.05
2019-06-19,15.91
2019-06-21,16.33
2019-06-24,16.01
2019-06-25,15.68
2019-06-26,15.70
2019-06-27,15.45
2019-06-28,15.77
2019-07-01,15.91
2019-07-02,15.67
2019-07-03,16.09
2019-07-04,16.05
2019-07-05,16.40
2019-07-08,18.00
2019-07-10,18.17
2019-07-11,18.28
2019-07-12,18.77
2019-07-15,19.26
2019-07-16,18.30
2019-07-17,18.23
2019-07-18,18.17
2019-07-19,17.90
2019-07-22,17.92
2019-07-23,17.90
2019-07-24,18.27
2019-07-25,17.80
2019-07-26,17.76
2019-07-29,17.66
2019-07-30,17.84
2019-07-31,17.60
2019-08-01,17.15
2019-08-02,17.80
2019-08-05,17.62
2019-08-06,17.60
2019-08-07,17.43
2019-08-08,17.48
2019-08-09,17.61
2019-08-12,17.39
2019-08-13,17.55
2019-08-14,17.13
2019-08-15,16.70
2019-08-16,16.08
2019-08-19,16.20
2019-08-20,15.68
2019-08-21,16.13
2019-08-22,16.10
2019-08-23,15.15
2019-08-26,14.57
2019-08-27,14.44
2019-08-28,15.50
2019-08-29,16.10
2019-08-30,16.90
2019-09-02,16.65
2019-09-03,16.85
2019-09-04,16.92
2019-09-05,16.85
2019-09-06,17.02
2019-09-09,17.03
2019-09-10,16.93
2019-09-11,17.15
2019-09-12,17.12
2019-09-13,17.03
2019-09-16,17.49
2019-09-17,17.09
2019-09-18,17.60
2019-09-19,18.12
2019-09-20,18.23
2019-09-23,18.25
2019-09-24,18.11
2019-09-25,18.10
2019-09-26,17.51
2019-09-27,17.00
2019-09-30,17.42
2019-10-01,17.05
2019-10-02,16.90
2019-10-03,16.91
2019-10-04,17.10
2019-10-07,16.66
2019-10-08,16.00
2019-10-09,16.17
2019-10-10,16.19
2019-10-11,17.00
2019-10-14,16.99
2019-10-15,16.94
2019-10-16,17.00
2019-10-17,17.26
2019-10-18,17.12
2019-10-21,17.08
2019-10-22,17.60
2019-10-23,17.53
2019-10-24,17.80
2019-10-25,17.92
2019-10-28,18.16
2019-10-29,18.38
2019-10-30,18.50
2019-10-31,18.50
2019-11-01,18.82
2019-11-04,19.36
2019-11-05,19.03
2019-11-06,19.16
2019-11-07,19.73
2019-11-08,19.80
2019-11-11,19.54
2019-11-12,19.36
2019-11-13,19.28
2019-11-14,19.46
2019-11-18,19.39
2019-11-19,19.24
2019-11-21,19.75
2019-11-22,20.62
2019-11-25,20.40
2019-11-26,21.31
2019-11-27,21.15
2019-11-28,22.00
2019-11-29,23.26
2019-12-02,23.08
2019-12-03,23.48
2019-12-04,25.49
2019-12-05,24.95
2019-12-06,26.58
2019-12-09,26.81
2019-12-10,26.99
2019-12-11,27.40
2019-12-12,28.00
2019-12-13,29.33
2019-12-16,29.43
2019-12-17,29.90
2019-12-18,29.62
2019-12-19,30.00
2019-12-20,30.91
2019-12-23,33.30
2019-12-26,34.34
2019-12-27,33.90
2019-12-30,33.06
2020-01-02,35.78
2020-01-03,37.85
2020-01-06,38.59
2020-01-07,38.64
2020-01-08,37.85
2020-01-09,36.40
2020-01-10,37.22
2020-01-13,38.82
2020-01-14,41.11
