2018-01-02,41.72
2018-01-03,41.47
2018-01-04,41.64
2018-01-05,42.29
2018-01-08,43.23
2018-01-09,43.07
2018-01-10,42.47
2018-01-11,43.30
2018-01-12,43.55
2018-01-15,43.47
2018-01-16,42.30
2018-01-17,43.15
2018-01-18,42.86
2018-01-19,42.88
2018-01-22,42.65
2018-01-23,40.87
2018-01-24,41.78
2018-01-26,41.43
2018-01-29,41.89
2018-01-30,41.47
2018-01-31,41.45
2018-02-01,41.79
2018-02-02,40.80
2018-02-05,40.35
2018-02-06,42.47
2018-02-07,41.71
2018-02-08,41.59
2018-02-09,42.00
2018-02-14,44.51
2018-02-15,45.95
2018-02-16,46.03
2018-02-19,46.45
2018-02-20,45.51
2018-02-21,44.80
2018-02-22,45.67
2018-02-23,46.08
2018-02-26,47.40
2018-02-27,47.33
2018-02-28,45.05
2018-03-01,44.45
2018-03-02,43.75
2018-03-05,43.70
2018-03-06,43.49
2018-03-07,42.85
2018-03-08,41.46
2018-03-09,42.10
2018-03-12,42.46
2018-03-13,42.13
2018-03-14,42.60
2018-03-15,42.40
2018-03-16,42.30
2018-03-19,41.10
2018-03-20,41.60
2018-03-21,42.50
2018-03-22,41.93
2018-03-23,41.60
2018-03-26,42.00
2018-03-27,40.86
2018-03-28,41.54
2018-03-29,42.21
2018-04-02,43.00
2018-04-03,42.87
2018-04-04,42.55
2018-04-05,43.25
2018-04-06,42.74
2018-04-09,42.95
2018-04-10,44.84
2018-04-11,44.64
2018-04-12,44.81
2018-04-13,44.98
2018-04-16,44.54
2018-04-17,45.93
2018-04-18,47.48
2018-04-19,47.83
2018-04-20,47.63
2018-04-23,47.50
2018-04-24,48.31
2018-04-25,47.95
2018-04-26,48.70
2018-04-27,48.35
2018-04-30,48.67
2018-05-02,48.71
2018-05-03,49.09
2018-05-04,49.70
2018-05-07,49.24
2018-05-08,49.19
2018-05-09,50.25
2018-05-10,51.40
2018-05-11,52.63
2018-05-14,54.27
2018-05-15,54.65
2018-05-16,55.90
2018-05-17,55.38
2018-05-18,54.77
2018-05-21,53.00
2018-05-22,52.34
2018-05-23,51.94
2018-05-24,52.46
2018-05-25,51.48
2018-05-28,51.07
2018-05-29,50.16
2018-05-30,50.63
2018-06-01,52.76
2018-06-04,52.52
2018-06-05,53.73
